集团公司2025年QHSE管理体系审核资料需求清单,,,,,,,,,,,
序号,审核专业,审核要素或主题,需提供资料名称,资料要求（数量、形式等）,提供单位（公司/分公司/作业区（站队））,检查问题,制程条款内容,整改建议,是否重复发生,是否管理追溯,备注
11,承包商,,施工组织设计等,3,作业区（站队）,"1.查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）施工组织设计，存在以下问题：
（1）第四章风险分析及安全技术措施中，危险源识别缺少车辆伤害、环境污染。
（2）第七章应急预案应急联络通讯录无联系人及联系方式，缺少人员坠落、环境污染应急措施；应急物资清单无灭火器等火灾扑灭的处置物资。",《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
12,承包商,,特种作业人员和特种设备作业人员资质证书,6,作业区（站队）,不涉及,,,,,
13,承包商,,作业安全风险清单,3,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）作业安全分析表，未识别出火灾风险，存在高处坠落、起重伤害等不涉及风险内容，与实际不符。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,重复发生,,
14,承包商,,作业方案,3,作业区（站队）,不涉及,,,,,
15,承包商,,作业环境条件,1,作业区（站队）,不涉及,,,,,
16,承包商,,施工组织设计（施工方案）-响应文件组成部分,6,作业区（站队）,不涉及,,,,,
17,承包商,,承包商施工作业前能力准入评估表,6,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）作业前能力准入评估表，”5.施工组织设计：施工组织设计、HSE管理方案要经承包方、监理、建设单位审批和备案“审查结果未打“√”、审查人未签字。,"《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》
002作业前准入能力评估
1、项目主管部门应当要求承包商在正式入厂（场）前编制并提交满足合同要求的HSE文件。具体以《国家管网集团承包商安全监督管理规定》第三十五、三十六条为准。
3、项目主管部门在承包商施工队伍入场前对其进行准入能力评估审查，审查内容应包括但并不限于安全生产许可证、安全管理机构设置、安全生产资源保障，关键岗位人员、特种作业人员资质证书及近三年安全生产业绩证明等，防止不符合要求的承包商施工队伍和人员进入现场作业。承包商施工作业前准入能力评估按照“谁发包、谁负责”的原则，由建设单位项目主管部门牵头，合同管理、安全管理、基层单位等相关业务部门参加，并在《承包商作业前准入能力评估表》中签字盖章。",,重复发生,,
18,承包商,,承包商培训合格证,6,作业区（站队）,无问题,,,,,
19,承包商,,作业人员安全培训记录,6,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）作业人员安全教育记录，缺少关键岗位人员的安全教育记录。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
20,承包商,,竣工后承包商安全绩效评估表,6,作业区（站队）,无，目前未完工,,,,,
21,承包商,,承包商施工作业过程中安全检查表,6,作业区（站队）,无问题,,,,,
22,承包商,,全员安全承诺书,6,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）内部全员安全承诺书，缺少关键岗位人员签字。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,重复发生,,,
23,承包商,,应急演练计划、实施、过程资料,6,作业区（站队）,"1.查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）应急演练计划、应急演练记录，存在以下问题：
（1）应急演练计划只有物体打击、火灾应急演练，缺少蚊虫叮咬、环境污染、人员坠落等应急演练。
（2）应急演练记录内容不全，缺少演练的具体内容，如演练地点、情景模拟、人员分工、演练内容等，演练记录形似培训学习记录。",《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
24,承包商,,合同及HSE协议,6,作业区（站队）,无问题,,,,,
25,安全,,作业方案、审批单,6,作业区（站队）,,,,,,
26,,,作业许可证,6,作业区（站队）,,,,,,
27,,,作业安全分析表,6,作业区（站队）,,,,,,
28,,,安全作业票,6,作业区（站队）,,,,,,
29,安全,,气体检测记录,6,作业区（站队）,,,,,,
30,,,人员资质审查记录,6,作业区（站队）,,,,,,
31,,,入场机具报验表,6,作业区（站队）,,,,,,
32,,,固定动火区申请表,1,作业区（站队）,,,,,,
33,,,作业人员安全培训记录,6,作业区（站队）,,,,,,
34,,,安全技术交底记录,6,作业区（站队）,,,,,,
35,,,非防爆工器具（电子产品）使用许可证,3,作业区（站队）,,,,,,
36,,,作业人员变更审批表,3,作业区（站队）,,,,,,
37,,,作业白名单,6,作业区（站队）,,,,,,
38,,,作业前安全检查表,6,作业区（站队）,,,,,,
39,,,作业现场检查表,6,作业区（站队）,,,,,,
40,,,操作检查确认表,6,作业区（站队）,,,,,,
41,,,现场指挥确认单,6,作业区（站队）,,,,,,
42,,,锁定隔离单,6,作业区（站队）,,,,,,
43,,,作业降级请示,3,作业区（站队）,,,,,,
44,,,,,,,,,,,
